  R12564595 | Centróides | TXT | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/decea/picocouto/previsao_radar/cent_sistconvectivo
  R12567547 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/picocouto/chuva/chuva24h
  R12574589 | Clusters 20 min | PNG | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/decea/picocouto/previsao_radar/rast_tempestade
  R12567537 | Doppler | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/picocouto/ppi/ppivr
  R12564845 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/picocouto/agua_liquida/dvil
  R12567552 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/decea/picocouto/echotop/echotop20dbz
  R12564844 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/picocouto/echotop/echotop35dbz
  R12567564 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/decea/picocouto/ppi/ppicz
  R12567556 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/picocouto/agua_liquida/vil
  R12564846 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/picocouto/echotop/waldvogel

### Radar 4960 - São Roque
  R12534960 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/decea/saoroque/cappi/cappi3km
  R12534597 | Centróides | TXT | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/decea/saoroque/previsao_radar/cent_sistconvectivo
  R12537544 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/saoroque/chuva/chuva24h
  R12574591 | Clusters 20 min | PNG | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/decea/saoroque/previsao_radar/rast_tempestade
  R12537536 | Doppler | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/saoroque/ppi/ppivr
  R12534842 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/saoroque/agua_liquida/dvil
  R12537539 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/decea/saoroque/echotop/echotop20dbz
  R12534841 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/saoroque/echotop/echotop35dbz
  R12537563 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/decea/saoroque/ppi/ppicz
  R12537542 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/saoroque/agua_liquida/vil
  R12534843 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/saoroque/echotop/waldvogel

### Radar 1380 - Santarém
  R13802142 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/santarem/cappi/cappi3km
  R12807321 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/santarem/chuva/chuva24h
  R12807322 | Chuva 48h | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/santarem/chuva/chuva48h
  R12807323 | Chuva 72h | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/santarem/chuva/chuva72h
  R12807372 | Doppler | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/santarem/ppi/ppivr
  R12802391 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/santarem/agua_liquida/dvil
  R12804661 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/santarem/echotop/echotop20dbz
  R12804660 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/santarem/echotop/echotop35dbz
  R12807592 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/santarem/ppi/ppicz
  R12802579 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/santarem/agua_liquida/vil
  R12804662 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/santarem/echotop/waldvogel

### Radar 2238 - Guaratiba
  R12952238 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/inea/guaratiba/cappi/cappi3km
  R12957254 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/inea/guaratiba/chuva/chuva24h
  R12957398 | Doppler | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/inea/guaratiba/ppi/ppivr
  R12952195 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/inea/guaratiba/agua_liquida/dvil
  R12954619 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/inea/guaratiba/echotop/echotop20dbz
  R12954618 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/inea/guaratiba/echotop/echotop35dbz
  R12957397 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/inea/guaratiba/ppi/ppicz
  R12952194 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/inea/guaratiba/agua_liquida/vil
  R12954620 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/inea/guaratiba/echotop/waldvogel

### Radar 8343 - Natal
  R12248343 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/natal/cappi/cappi3km
  R12244676 | Centróides | TXT | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/cemaden/natal/previsao_radar/cent_sistconvectivo
  R12247516 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/natal/chuva/chuva24h
  R12244667 | Clusters 20 min | PNG | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/cemaden/natal/previsao_radar/rast_tempestade
